id,decision,reason
52,include,IC1
60,include,IC2
71,include,IC2
77,include,IC1
107,exclude,EC2
113,exclude,EC1
122,exclude,EC1
143,exclude,EC1
144,exclude,EC1
145,exclude,EC1
149,exclude,EC1
166,exclude,EC1
167,exclude,EC1
188,include,IC1
223,exclude,EC1
230,exclude,EC1
231,exclude,EC2
237,exclude,EC2
239,include,IC1
240,exclude,EC2
263,exclude,EC1
271,exclude,EC1
394,exclude,EC1
404,include,IC1
406,include,IC2
407,exclude,EC1
408,exclude,EC2
412,exclude,EC2
414,exclude,EC1
417,exclude,EC1
419,include,IC2
421,include,IC2
422,exclude,EC1
429,exclude,EC1
430,exclude,EC1
432,include,IC2
435,include,IC1
445,exclude,EC1
474,exclude,EC1
477,include,IC1
492,exclude,EC1
501,exclude,EC1
510,exclude,EC1
515,exclude,EC1
516,exclude,EC1
525,exclude,EC1
548,exclude,EC1
553,exclude,EC2
559,exclude,EC2
582,exclude,EC1
599,exclude,EC2
612,exclude,EC1
642,exclude,EC1
660,exclude,EC1
675,exclude,EC1
688,include,IC1
698,exclude,EC1
704,exclude,EC2
728,exclude,EC2
731,exclude,EC1
734,exclude,EC2
738,exclude,EC1
742,exclude,EC1
769,exclude,EC1
776,exclude,EC1
778,exclude,EC1
787,exclude,EC1
795,exclude,EC1
820,exclude,EC2
832,exclude,EC1
835,include,IC1
836,exclude,EC1
838,include,IC1
845,exclude,EC1
848,exclude,EC2
850,exclude,EC1
851,exclude,EC2
898,include,IC1
908,exclude,EC2
924,exclude,EC1
928,include,IC1
929,exclude,EC1
935,exclude,EC1
940,exclude,EC1
946,exclude,EC1
962,include,IC1
969,exclude,EC1
979,include,IC1
983,exclude,EC1
984,exclude,EC1
994,exclude,EC2
997,exclude,EC2
1023,exclude,EC1
1027,exclude,EC2
1039,exclude,EC1
1049,exclude,EC2
1054,exclude,EC2
1058,exclude,EC1
1060,include,IC2
1188,exclude,EC1
1205,include,IC1
1217,exclude,EC2
1223,exclude,EC1
1227,exclude,EC2
1235,exclude,EC2
1264,exclude,EC2
1270,exclude,EC1
1284,exclude,EC1
1318,exclude,EC1
1330,exclude,EC3
1334,exclude,EC2
1341,exclude,EC1
1342,exclude,EC1
1371,exclude,EC1
1372,exclude,EC2
1388,exclude,EC1
1400,exclude,EC1
1444,exclude,EC1
1456,exclude,EC1
1461,exclude,EC3
1462,exclude,EC1
1467,exclude,EC2
1483,exclude,EC3
1490,exclude,EC2
1503,exclude,EC2
1504,exclude,EC3
1507,exclude,EC1
1508,exclude,EC1
1571,exclude,EC1
1574,exclude,EC2
1583,exclude,EC1
1586,exclude,EC1
1669,exclude,EC1
1689,exclude,EC3
1701,exclude,EC2
1754,exclude,EC1
1788,exclude,EC2
1795,exclude,EC1
1797,exclude,EC1
1804,exclude,EC1
1826,exclude,EC1
1844,exclude,EC1
1849,exclude,EC1
1858,exclude,EC3
1871,exclude,EC3
1885,exclude,EC1
1909,exclude,EC1
1937,exclude,EC2
1975,exclude,EC1
1980,exclude,EC1
2006,exclude,EC3
2010,exclude,EC1
2041,exclude,EC1
2067,exclude,EC1
2076,exclude,EC1
2082,exclude,EC3
2107,exclude,EC1
2118,exclude,EC3
2123,exclude,EC1
2129,exclude,EC1
2136,exclude,EC1
2156,exclude,EC3
2166,exclude,EC1
2194,exclude,EC3
2197,exclude,EC1
2202,include,IC1
2203,exclude,EC2
2205,exclude,EC1
2234,exclude,EC1
2321,exclude,EC1
2337,exclude,EC1
2405,exclude,EC3
2422,exclude,EC1
2492,exclude,EC1
2503,include,IC1
2520,include,IC1
2521,include,IC1
2558,include,IC2
2570,exclude,EC3
2592,exclude,EC1
2636,exclude,EC1
2644,exclude,EC1
2645,exclude,EC1
2669,exclude,EC1
2673,exclude,EC2
2682,exclude,EC1
2687,exclude,EC1
2696,exclude,EC3
2735,exclude,EC1
2754,exclude,EC1
2778,exclude,EC1
2860,exclude,EC1
2866,include,IC1
2879,include,IC2
2884,exclude,EC2
2885,exclude,EC1
2937,exclude,EC1
2996,exclude,EC1
3035,exclude,EC3
3036,exclude,EC1
3053,exclude,EC1
3173,exclude,EC3
3185,exclude,EC3
3193,exclude,EC3
3198,exclude,EC3
3213,exclude,EC3
3218,exclude,EC3
3221,exclude,EC3
3226,exclude,EC3
3228,exclude,EC3
3229,exclude,EC3
3233,exclude,EC3
3236,exclude,EC3
3237,exclude,EC3
3238,exclude,EC3
3241,exclude,EC3
3242,exclude,EC3
3245,exclude,EC3
3264,exclude,EC1
3273,exclude,EC1
3274,exclude,EC2
3287,exclude,EC1
3322,exclude,EC1
3354,exclude,EC1
3355,exclude,EC1
3368,include,IC1
3373,exclude,EC2
3383,exclude,EC2
3426,exclude,EC1
3437,exclude,EC1
3486,exclude,EC2
3499,exclude,EC1
3516,exclude,EC1
3557,exclude,EC2
3558,exclude,EC1
3579,include,IC2
3601,include,IC1
3611,exclude,EC3
3642,exclude,EC3
3657,exclude,EC1
3706,include,IC2
3711,exclude,EC2
3713,exclude,EC2
3758,exclude,EC1
