paper_id,title,abstract,publication_year,doi,satisfy_ic1,satisfy_ic2,from_snowballing,papers_backward_snowballing,papers_forward_snowballing,citation_key,publication_type,venue,venue_type
1,Sustainability and High Performance Computing,"The use of High Performance Computing (HPC) has become a fundamental aspect of scientific research, industrial innovation and complex data analytics. However, the growing demand for faster and more powerful computational capabilities has resulted in a significant increase in energy consumption and associated environmental impacts. This paper aims to investigate the relationship between sustainability and HPC, with the objective of identifying methodologies that can make HPC systems more environmentally friendly without compromising their performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",2025,10.1007/978-3-031-78093-6_21,1.0,0.0,0.0,30.0,2.0,masciari2025Sustainability,conference paper,Information Integration and Web Intelligence: 26th International Conference (iiWAS 2024),general cs
2,Environment-conscious scheduling of HPC applications on distributed Cloud-oriented data centers,"The use of High Performance Computing (HPC) in commercial and consumer IT applications is becoming popular. HPC users need the ability to gain rapid and scalable access to high-end computing capabilities. Cloud computing promises to deliver such a computing infrastructure using data centers so that HPC users can access applications and data from a Cloud anywhere in the world on demand and pay based on what they use. However, the growing demand drastically increases the energy consumption of data centers, which has become a critical issue. High energy consumption not only translates to high energy cost which will reduce the profit margin of Cloud providers, but also high carbon emissions which are not environmentally sustainable. Hence, there is an urgent need for energy-efficient solutions that can address the high increase in the energy consumption from the perspective of not only the Cloud provider, but also from the environment. To address this issue, we propose near-optimal scheduling policies that exploit heterogeneity across multiple data centers for a Cloud provider. We consider a number of energy efficiency factors (such as energy cost, carbon emission rate, workload, and CPU power efficiency) which change across different data centers depending on their location, architectural design, and management system. Our carbon/energy based scheduling policies are able to achieve on average up to 25% of energy savings in comparison to profit based scheduling policies leading to higher profit and less carbon emissions. © 2010 Elsevier Inc. All rights reserved.",2011,10.1016/j.jpdc.2010.04.004,1.0,0.0,0.0,60.0,463.0,garg2011Environmentconscious,journal paper,Journal of Parallel and Distributed Computing,parallel distributed
3,A Digital Twin Framework for Liquid-cooled Supercomputers as Demonstrated at Exascale,"We present ExaDigiT, an open-source framework for developing comprehensive digital twins of liquid-cooled supercomputers. It integrates three main modules: (1) a resource allocator and power simulator, (2) a transient thermo-fluidic cooling model, and (3) an augmented reality model of the supercomputer and central energy plant. The framework enables the study of 'what-if' scenarios, system optimizations, and virtual prototyping of future systems. Using Frontier as a case study, we demonstrate the framework's capabilities by replaying six months of system telemetry for systematic verification and validation. Such a comprehensive analysis of a liquid-cooled exascale supercomputer is the first of its kind. ExaDigiT elucidates complex transient cooling system dynamics, runs synthetic or real workloads, and predicts energy losses due to rectification and voltage conversion. Throughout our paper, we present lessons learned to benefit HPC practitioners developing similar digital twins. We envision the digital twin will be a key enabler for sustainable, energy-efficient supercomputing. © 2024 IEEE.",2024,10.1109/SC41406.2024.00029,1.0,0.0,0.0,77.0,20.0,brewer2024Digital,conference paper,"International Conference for High Performance Computing, Networking, Storage and Analysis, SC",hpc systems
4,Toward Sustainable HPC: In-Production Deployment of Incentive-Based Power Efficiency Mechanism on the Fugaku Supercomputer,"This paper describes the deployment and operational experience of a novel incentive-based power-control strategy on the Fugaku supercomputer. Our incentive-based program, termed Fugaku Points, provides knobs to users to apply power control functions to improve the overall power efficiency of the supercomputer toward achieving HPC sustainability in terms of its environmental implications. We also discuss new operational opportunities, challenges, and future directions.",2024,10.1109/SC41406.2024.00030,1.0,0.0,0.0,47.0,8.0,solorzano2024Sustainable,conference paper,"SC24: International Conference for High Performance Computing, Networking, Storage and Analysis",hpc systems
5,Designing an Energy-Efficient HPC Supercomputing Center,"This paper presents design considerations that drive the development of an energy-efficient, high performance computing (HPC) data center facility. Key electrical and mechanical design considerations will be presented that maximize facility efficiency, both in construction and in ongoing operations. A case study is provided that applies these design decisions to multiple development alternatives for Los Alamos National Laboratory (LANL).We evaluated alternatives ranging from 20 MW to 80 MW of power and cooling, and compared new buildings to upgrading the existing HPC Super Computer Center.The four principles guiding the design decisions are flexibility to support future systems, sustainability, lifecycle costs and initial cost.",2019,10.1145/3339186.3339212,1.0,0.0,0.0,7.0,9.0,strevell2019Designing,conference paper,Workshop Proceedings of the 48th International Conference on Parallel Processing,parallel distributed
6,Toward Sustainable HPC: Carbon Footprint Estimation and Environmental Implications of HPC Systems,"The rapid growth in demand for HPC systems has led to a rise in carbon footprint, which requires urgent intervention. In this work, we present a comprehensive analysis of the carbon footprint of high-performance computing (HPC) systems, considering the carbon footprint during both the hardware manufacturing and system operational stages. Our work employs HPC hardware component carbon footprint modeling, regional carbon intensity analysis, and experimental characterization of the system life cycle to highlight the importance of quantifying the carbon footprint of HPC systems.",2023,10.1145/3581784.3607035,1.0,0.0,0.0,89.0,36.0,li2023Sustainable,conference paper,"SC '23: International Conference for High Performance Computing, Networking, Storage and Analysis",hpc systems
7,Sustainability in HPC: Vision and Opportunities,"Tackling climate change by reducing and eventually eliminating carbon emissions is a significant milestone on the path toward establishing an environmentally sustainable society. As we transition into the exascale era, marked by an increasing demand and scale of HPC resources, the HPC community must embrace the challenge of reducing carbon emissions from designing and operating modern HPC systems. In this position paper, we describe challenges and highlight different opportunities that can aid HPC sites in reducing the carbon footprint of modern HPC systems.",2023,10.1145/3624062.3624271,1.0,0.0,0.0,46.0,2.0,chadha2023Sustainability,conference paper,"SC-W 2023: Workshops of The International Conference on High Performance Computing, Network, Storage, and Analysis",hpc systems
8,Towards Zero-Carbon Data Movement at the HPC and Cloud Data Centers,"The proliferation of scientific applications, the Internet of Things (IoT), social media, and e-commerce has led to an exponential growth in data generation, consequently fueling the demand for large-scale data analytics systems. Consequently, the transfer of data over the Internet has escalated to an unprecedented scale, surpassing the zettabyte mark [37]. As data generation rates continue to surge, the carbon footprint associated with data movement has emerged as a pressing concern, particularly for High-Performance Computing (HPC) and Cloud data centers. Projections indicate that by 2030, information and communication technologies will account for 8%–21% of global electricity usage [6]. HPC and Cloud data centers and communication networks contribute to 69% of the overall power consumption within the IT sector [4]. Within this segment, data transfers alone consume over a hundred terawatt-hours of energy annually, amounting to a staggering $20 billion USD [6]. The environmental implications are equally monumental, with information and communication technologies projected to be responsible for a staggering 14% of carbon emissions by 2040 [6]. These trends have spurred significant efforts to reduce energy consumption in hardware and software systems, as well as networking devices.",2023,10.1109/JVA60410.2023.00019,1.0,0.0,0.0,40.0,1.0,kosar2023ZeroCarbon,conference paper,2023 IEEE John Vincent Atanasoff International Symposium on Modern Computing (JVA),general cs
9,The Environmental Cost of High Performance Computing System Simulation,"In this research paper, we explore the essential role of High Performance Computing (HPC) in the current techno-logical era, highlighting its extensive use in various sectors, while also considering growing alarm over its environmental footprint. High performance computing systems are essential for managing large data sets and solving complex challenges. However, their significant contribution to escalating energy consumption and carbon emissions in the information and communication technology (ICT) sector cannot be ignored. Our study identifies the increasing energy demands and environmental challenges associated with HPC activities, including resource use, electrical waste and greenhouse gas emissions. It highlights the importance of understanding these environmental impacts in detail. It also contributes to the ongoing dialogue on sustainable computing, promoting a harmonious future where technological progress and environmental sustainability can coexist in unison.",2024,10.1109/PDP62718.2024.00048,1.0,0.0,0.0,35.0,7.0,masciari2024Environmental,conference paper,"2024 32nd Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)",parallel distributed
10,Calculating User-Centric Carbon Footprints for HPC,"Sustainable computing necessitates metrics for calculating carbon emissions of HPC systems and applications. While some established metrics focus on the data center level targeting HPC operators, any publicly reported data is too unspecific and untimely for HPC users. HPC users are often left only with the ability to estimate based on generic and sometimes arbitrarily chosen parameters. This paper fills a research gap by providing a methodology for HPC operators to calculate user-centric operational carbon footprints. Three carbon accounting levels are defined, focussing on ease of applicability for initial adoption and incrementally increasing reporting accuracy and time resolution. We apply this methodology to two German HPC centers, providing a variability analysis for the calculation parameters. The results reveal significant hourly, daily, and monthly fluctuations in the carbon intensity of the German energy mix and the clusters' power consumption, as well as hourly and monthly trends for the power usage effectiveness if free air cooling is employed.",2024,10.1109/CLUSTERWorkshops61563.2024.00015,0.0,1.0,0.0,39.0,3.0,wassermann2024Calculating,conference paper,2024 IEEE International Conference on Cluster Computing Workshops (CLUSTER Workshops),hpc systems
