id,decision,reason,notes
52,exclude,EC2,
60,include,IC1,
71,include,IC2,
77,include,IC1,
107,exclude,EC2,
113,exclude,EC1,
122,exclude,EC1,
143,exclude,EC1,
144,exclude,EC1,
145,exclude,EC1,
149,exclude,EC1,
166,exclude,EC1,
167,exclude,EC1,
188,include,IC2,
223,include,IC1,
230,exclude,EC3,
231,exclude,EC2,
237,include,IC1,
239,include,IC2,
240,exclude,EC1,
263,exclude,EC1,
271,exclude,EC3,
394,exclude,EC1,"Acho que talvez tenha algo a ver sim, mas só lendo o paper pra saber"
404,include,IC2,
406,include,IC2,
407,exclude,EC3,
408,include,IC1,
412,exclude,EC2,
414,exclude,EC1,
417,exclude,EC1,
419,include,IC1,
421,include,IC2,
422,exclude,EC3,
429,exclude,EC2,
430,exclude,EC1,
432,include,IC1,
435,include,IC1,
445,include,IC1,
474,include,IC2,
477,include,IC1,
492,include,IC1,
501,exclude,EC3,
510,exclude,EC2,"Book - EC3? Talvez pela última linha, tem que olhar o paper"
515,exclude,EC3,
516,exclude,EC3,Book - EC3?
525,exclude,EC1,Foge um pouco de HPC me parece
548,include,IC2,
553,include,IC2,
559,exclude,EC2,
582,exclude,EC3,Me parece IC1 se for ler o paper
599,include,IC2,
612,exclude,EC1,Teria que ler
642,include,IC2,
660,exclude,EC1,
675,include,IC2,
688,include,IC2,
698,exclude,EC1,
704,exclude,EC1,
728,exclude,EC1,Não entendi sobre o que o paper fala
731,exclude,EC1,
734,exclude,EC2,
738,include,IC1,
742,include,IC1,
769,include,IC2,
776,exclude,EC2,
778,include,IC2,
787,include,IC1,
795,exclude,EC2,
820,exclude,EC2,
832,exclude,EC1,"Lendo talvez tenha algo, abstract vago"
835,include,IC2,
836,include,IC1,
838,exclude,EC2,
845,exclude,EC1,
848,exclude,EC2,
850,exclude,EC1,Relacionado ao carbon footprint mas não a HPC
851,include,IC1,
898,include,IC2,
908,include,IC1,
924,include,IC2,
928,include,IC2,
929,exclude,EC1,
935,exclude,EC2,
940,exclude,EC1,
946,include,IC2,
962,include,IC1,
969,exclude,EC1,
979,include,IC2,
983,include,IC2,
984,exclude,EC1,Não me parece estar no contexto de HPC pelo abstract? Apesar de scientific research geralmente estar atrelado com
994,exclude,EC2,
997,exclude,EC2,
1023,exclude,EC2,
1027,exclude,EC2,
1039,exclude,EC1,
1049,exclude,EC2,
1054,exclude,EC1,"Interessante, talvez no paper fale algo sobre"
1058,include,IC1,
1060,include,IC2,
1188,exclude,EC1,
1205,exclude,EC1,paper?
1217,exclude,EC1,
1223,exclude,EC1,
1227,exclude,EC2,
1235,exclude,EC1,dupe
1264,exclude,EC2,
1270,exclude,EC1,
1284,exclude,EC1,
1318,include,IC1,
1330,exclude,EC3,
1334,exclude,EC1,
1341,include,IC1,
1342,exclude,EC3,
1371,exclude,EC1,
1372,exclude,EC1,
1388,exclude,EC1,
1400,exclude,EC2,
1444,include,IC2,
1456,exclude,EC2,
1461,exclude,EC3,
1462,include,IC1,
1467,exclude,EC2,
1483,exclude,EC3,
1490,exclude,EC2,
1503,exclude,EC1,interessante demais
1504,exclude,EC3,
1507,exclude,EC1,
1508,include,IC1,
1571,exclude,EC1,me parece não relacionado a HPC em si?
1574,exclude,EC2,
1583,exclude,EC1,
1586,include,IC1,
1669,exclude,EC1,
1689,exclude,EC1,
1701,exclude,EC2,
1754,exclude,EC1,
1788,exclude,EC2,
1795,exclude,EC1,
1797,exclude,EC1,
1804,exclude,EC1,
1826,exclude,EC2,
1844,exclude,EC1,
1849,exclude,EC1,
1858,exclude,EC3,
1871,exclude,EC3,
1885,exclude,EC1,
1909,include,IC1,
1937,exclude,EC2,
1975,include,IC2,
1980,include,IC2,
2006,include,IC1,
2010,include,IC1,
2041,exclude,EC1,
2067,exclude,EC2,
2076,exclude,EC1,
2082,exclude,EC3,
2107,exclude,EC1,
2118,exclude,EC3,
2123,include,IC1,Não sei se tem a ver com HPC pelo abstract
2129,exclude,EC1,
2136,exclude,EC1,
2156,include,IC1,
2166,include,IC1,
2194,include,IC2,
2197,include,IC2,
2202,include,IC1,
2203,include,IC1,
2205,exclude,EC1,
2234,exclude,EC1,
2321,include,IC1,
2337,exclude,EC1,
2405,exclude,EC3,
2422,exclude,EC2,
2492,include,IC2,
2503,exclude,EC2,
2520,include,IC2,
2521,include,IC2,
2558,include,IC2,
2570,exclude,EC3,
2592,exclude,EC2,
2636,include,IC1,
2644,include,IC2,"Não está falando explicitamente de HPC, mas me parece algo complexo para não ser rodado em um HPC"
2645,exclude,EC1,
