id,decision,reason
1,include,IC1
2,include,IC1
3,include,IC1
4,include,IC1
5,include,IC1
6,include,IC1
7,include,IC1
8,include,IC1
9,include,IC1
10,include,IC2
11,include,IC1
12,include,IC1
13,include,IC1
14,include,IC1
15,include,IC1
16,include,IC1
17,include,"IC1, IC2"
18,include,"IC1, Snowball"
19,include,IC1
20,include,IC1
21,include,IC1
22,include,IC1
23,include,IC1
24,include,IC1
25,include,IC1
26,include,"IC1, IC2, Snowball"
27,include,"IC2, Snowball"
28,include,"IC1, Snowball"
29,include,"IC1, Snowball"
30,include,IC1
32,exclude,EC1
33,exclude,EC1
37,exclude,EC1
38,exclude,EC1
44,exclude,EC2
45,exclude,EC1
47,exclude,EC1
48,exclude,EC1
49,exclude,EC2
51,exclude,EC1
56,exclude,EC1
79,exclude,EC1
85,exclude,EC1
95,exclude,EC2
101,exclude,EC3
103,exclude,EC1
110,exclude,EC1
126,exclude,EC1
127,exclude,EC1
128,exclude,EC1
130,exclude,EC1
140,exclude,EC2
147,exclude,EC1
160,exclude,EC1
163,exclude,EC1
165,exclude,EC1
168,exclude,EC1
169,exclude,EC2
171,exclude,EC1
174,exclude,EC1
182,exclude,EC1
185,exclude,EC1
187,exclude,EC3
189,exclude,EC2
193,exclude,EC1
196,exclude,EC2
197,exclude,EC1
199,exclude,EC1
200,exclude,EC1
204,exclude,EC2
205,exclude,EC1
209,exclude,EC1
213,exclude,EC1
214,exclude,EC1
215,exclude,EC2
219,exclude,EC1
224,exclude,EC1
233,exclude,EC1
241,exclude,EC2
242,exclude,EC1
244,exclude,EC1
245,exclude,EC1
250,exclude,EC1
251,exclude,EC1
252,exclude,EC1
253,exclude,EC1
261,exclude,EC2
268,exclude,EC1
270,exclude,EC1
273,exclude,EC2
275,exclude,EC1
276,exclude,EC1
277,exclude,EC1
278,exclude,EC1
290,exclude,EC1
292,exclude,EC1
300,exclude,EC1
301,exclude,EC1
303,exclude,EC1
304,exclude,EC1
306,exclude,EC1
307,exclude,EC1
309,exclude,EC1
311,exclude,EC1
313,exclude,EC2
316,exclude,EC1
319,exclude,EC1
320,exclude,EC1
328,exclude,EC1
337,exclude,EC1
338,exclude,EC1
349,exclude,EC1
352,exclude,EC1
353,exclude,EC1
354,exclude,EC1
359,exclude,EC2
362,exclude,EC1
364,exclude,EC1
367,exclude,EC2
368,exclude,EC2
371,exclude,EC1
373,exclude,EC1
374,exclude,EC1
383,exclude,EC1
386,exclude,EC1
396,exclude,EC1
450,exclude,EC2
452,exclude,EC1
458,exclude,EC1
466,exclude,EC2
473,exclude,EC2
475,exclude,EC1
476,exclude,EC1
483,exclude,EC1
488,exclude,EC1
493,exclude,EC1
498,exclude,EC1
507,exclude,EC1
511,exclude,EC1
554,exclude,EC1
557,exclude,EC1
580,exclude,EC1
587,exclude,EC1
597,exclude,EC1
608,exclude,EC1
618,exclude,EC1
627,exclude,EC1
646,exclude,EC2
656,exclude,EC1
712,exclude,EC1
718,exclude,EC2
723,exclude,EC1
732,exclude,EC1
748,exclude,EC1
789,exclude,EC1
1077,exclude,EC1
1096,exclude,EC1
1174,exclude,EC1
1241,exclude,EC1
1271,exclude,EC1
1273,exclude,EC1
1280,exclude,EC1
1292,exclude,EC2
1332,exclude,EC1
