id,present_in_first_screening,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason,human_decision,human_reason
1,yes,include,"The paper explicitly investigates environmental impacts of HPC and methodologies to make HPC systems more environmentally friendly, satisfying both IC1 and IC2.",include,"The abstract explicitly discusses environmental impacts in the HPC context and aims to identify methodologies to make HPC systems more environmentally friendly, satisfying IC1 and IC2.",include,The paper explicitly aims to investigate the relationship between HPC and associated environmental impacts and identifies methodologies to make these systems more environmentally friendly.,include,IC1
2,yes,include,"The paper proposes scheduling policies for HPC on cloud data centers that explicitly address both energy consumption and carbon emissions, satisfying IC1 and IC2.",include,The paper addresses environmental impacts in an HPC context by explicitly considering carbon emissions alongside energy in a scheduling methodology for distributed data centers.,include,The paper addresses the environmental impact of HPC by proposing scheduling policies that explicitly consider and reduce carbon emissions alongside energy consumption.,include,IC1
3,yes,include,"The paper presents a digital twin framework for liquid-cooled supercomputers that predicts energy losses and enables sustainable, energy-efficient supercomputing, directly addressing environmental impact methodologies in the HPC context (IC2).",exclude,"The paper focuses on digital-twin modeling for power, cooling, and energy efficiency in supercomputers without explicitly addressing broader environmental impacts such as carbon, water, or materials.",include,"Although the abstract focuses heavily on energy efficiency and cooling, its stated goal of enabling sustainable supercomputing creates enough uncertainty regarding broader environmental impacts to warrant inclusion.",include,IC1
4,yes,include,"The paper addresses power efficiency and sustainability of the Fugaku supercomputer with explicit mention of environmental implications, satisfying IC1.",include,"The paper explicitly frames power-efficiency deployment on an HPC system in terms of sustainability and environmental implications, so it is within scope under IC1.",include,"The paper discusses power efficiency on a supercomputer and explicitly connects it to broader HPC sustainability and environmental implications, satisfying IC1.",include,IC1
5,yes,include,"The paper addresses energy efficiency in HPC data center design with sustainability as a guiding principle, connecting energy considerations to broader environmental impact.",include,"The paper is in the HPC context and discusses sustainability and lifecycle-oriented facility design beyond pure runtime energy use, so it should be included under IC1 when uncertain.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-19-41-646Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h8m11s.
    at cla",include,IC1
6,yes,include,"The paper directly addresses carbon footprint estimation of HPC systems across manufacturing and operational stages, satisfying IC1 and IC2.",include,The paper directly addresses carbon footprint in the HPC context and presents methods for estimating and characterizing environmental impacts across manufacturing and operational stages.,error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-21-01-272Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h6m51s.
    at cla",include,IC1
7,yes,include,"The paper directly addresses carbon emissions and carbon footprint reduction in HPC systems, satisfying IC1.",include,"The paper directly addresses carbon emissions and carbon footprint reduction in modern HPC systems, which falls within environmental impacts in the HPC context.",error,"Error when talking to Gemini API Full report available at: /var/folders/51/jprn1_6j1ysbtv0m638dh5g00000gn/T/gemini-client-error-Turn.run-sendMessageStream-2026-04-11T11-21-48-928Z.json TerminalQuotaError: You have exhausted your capacity on this model. Your quota will reset after 9h6m4s.
    at clas",include,IC1
8,yes,include,"The paper directly addresses carbon footprint and carbon emissions associated with data movement in HPC and Cloud data centers, satisfying IC1.",include,"The paper explicitly addresses carbon footprint and carbon emissions associated with data movement in HPC data centers, which fits IC1.",,,include,IC1
9,yes,include,"The paper directly addresses environmental impacts of HPC systems including carbon emissions, resource use, and e-waste, satisfying IC1.",include,"The paper directly addresses environmental impacts of HPC, including carbon emissions, resource use, e-waste, and broader environmental footprint, satisfying IC1.",,,include,IC1
10,yes,include,"The paper presents a methodology for calculating user-centric carbon footprints for HPC systems, directly addressing IC2 (methodology for measuring environmental impacts) and IC1 (carbon emissions as an environmental impact of HPC).",include,The paper directly addresses carbon emissions in the HPC context and presents a methodology for calculating user-centric operational carbon footprints of HPC systems.,,,include,IC2
