"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4SQWEVSG","journalArticle","2024","Silva, C.A.; Vilaça, R.; Pereira, A.; Bessa, R.J.","A review on the decarbonization of high-performance computing centers","Renewable and Sustainable Energy Reviews","","13640321","10.1016/j.rser.2023.114019","https://linkinghub.elsevier.com/retrieve/pii/S1364032123008778","High-performance computing relies on performance-oriented infrastructures with access to powerful computing resources to complete tasks that contribute to solve complex problems in society. The intensive use of resources and the increase in service demand due to emerging fields of science, combined with the exascale paradigm, climate change concerns, and rising energy costs, ultimately means that the decarbonization of these centers is key to improve their environmental and financial performance. Therefore, a review on the main opportunities and challenges for the decarbonization of high-performance computing centers is essential to help decision-makers, operators and users contribute to a more sustainable computing ecosystem. It was found that state-of-the-art supercomputers are growing in computing power, but are combining different measures to meet sustainability concerns, namely going beyond energy efficiency measures and evolving simultaneously in terms of energy and information technology infrastructure. It was also shown that policy and multiple entities are now targeting specifically HPC, and that identifying synergies with the energy sector can reveal new revenue streams, but also enable a smoother integration of these centers in energy systems. Overall, many opportunities, but also challenges, were identified to decrease carbon emissions in a sector mostly concerned with improving hardware performance.","2024-01","2025-03-30 19:16:01","2026-04-07 12:30:26","2025-03-30 19:16:01","114019","","","189","","Renewable and Sustainable Energy Reviews","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/lucas/ws/Zotero Files/silva-2024-a-review-on-the-decarbonization-of-high-performanc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2JQA5HB","conferencePaper","2023","Chadha, Mohak; Arima, Eishi; Raoofy, Amir; Gerndt, Michael; Schulz, Martin","Sustainability in HPC: Vision and Opportunities","Proceedings of the SC '23 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis","979-8-4007-0785-8","","10.1145/3624062.3624271","https://dl.acm.org/doi/10.1145/3624062.3624271","Tackling climate change by reducing and eventually eliminating carbon emissions is a significant milestone on the path toward establishing an environmentally sustainable society. As we transition into the exascale era, marked by an increasing demand and scale of HPC resources, the HPC community must embrace the challenge of reducing carbon emissions from designing and operating modern HPC systems. In this position paper, we describe challenges and highlight different opportunities that can aid HPC sites in reducing the carbon footprint of modern HPC systems.","2023-11-12","2025-03-30 19:14:55","2026-04-07 12:30:36","2025-03-30 19:14:55","1876-1880","","","","","","Sustainability in HPC","","","","","ACM","Denver CO USA","en","","","","","DOI.org (Crossref)","","","","/Users/lucas/ws/Zotero Files/chadha-2023-sustainability-in-hpc-vision-and-opportunities.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SC-W 2023: Workshops of The International Conference on High Performance Computing, Network, Storage, and Analysis","","","","","","","","","","","","","","",""
"MUQKPD9A","conferencePaper","2023","Li, Baolin; Basu Roy, Rohan; Wang, Daniel; Samsi, Siddharth; Gadepally, Vijay; Tiwari, Devesh","Toward Sustainable HPC: Carbon Footprint Estimation and Environmental Implications of HPC Systems","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis","979-8-4007-0109-2","","10.1145/3581784.3607035","https://dl.acm.org/doi/10.1145/3581784.3607035","The rapid growth in demand for HPC systems has led to a rise in carbon footprint, which requires urgent intervention. In this work, we present a comprehensive analysis of the carbon footprint of high-performance computing (HPC) systems, considering the carbon footprint during both the hardware manufacturing and system operational stages. Our work employs HPC hardware component carbon footprint modeling, regional carbon intensity analysis, and experimental characterization of the system life cycle to highlight the importance of quantifying the carbon footprint of HPC systems.","2023-11-12","2025-03-30 19:09:16","2026-04-07 12:31:07","2025-03-30 19:09:16","1-15","","","","","","Toward Sustainable HPC","","","","","ACM","Denver CO USA","en","","","","","DOI.org (Crossref)","","","","/Users/lucas/ws/Zotero Files/li-2023-toward-sustainable-hpc-carbon-footprint-estimatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SC '23: International Conference for High Performance Computing, Networking, Storage and Analysis","","","","","","","","","","","","","","",""
"JGS9THZG","journalArticle","2024","Haodong, Yang; Gaofeng, Wang","High Energy Consumption or Dirty Energy Using? The Driving Factors Behind Carbon Emission in National Supercomputing Centers","Polish Journal of Environmental Studies","","","10.15244/pjoes/173099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184444513&doi=10.15244%2fpjoes%2f173099&partnerID=40&md5=b6aaa867fb7014e4388c3791129ae00d","Regarding the impact of digitization on the environment, a definitive consensus remains elusive in the scholarly discourse. This article evaluates the carbon emissions impact of China’s National Supercomputing Centers (NSCs) in terms of computational power, aiming to determine whether NSCs exhibit significant carbon emissions effects and to identify the underlying factors driving them. Theoretically, we integrate both direct and indirect effect into a comprehensive research framework, comprising the dimensions of energy consumption and energy structure. Empirically, the synthetic control method (SCM) is employed, constructing a group of synthetic control cities that closely resemble the NSC cities. The research findings show that NSC cities exhibit statistically significant differences in carbon emissions compared to synthetically non-NSC cities, yet this phenomenon manifests with intercity heterogeneity. Upon scrutinizing the driving factors, it becomes apparent that NSCs primarily elevate urban energy consumption scale through increased industrial electricity usage, thus fostering the escalation of local carbon emissions. Interestingly, in certain cities, despite witnessing a surge in energy consumption scale attributable to NSC, carbon emissions effects were not observed, which could be predominantly ascribed to a higher proportion of clean energy within the energy structure. The above results unveil the existence of NSC carbon emissions effect as well as its driving factors (high energy consumption and dirty energy using), providing policy guidance for public sectors aiming to enhance NSC operational efficiency, optimize energy structure, and broaden the spillover effect. © 2024, HARD Publishing Company. All rights reserved.","2024","2025-06-11 23:02:34","2026-02-16 12:29:11","","1709 – 1723","","2","33","","","","","","","","","","","","","","","","","Type: Article","","/Users/lucas/ws/Zotero Files/haodong-2024-high-energy-consumption-or-dirty-energy-using-the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCHDA474","conferencePaper","2024","Wassermann, Christian; Bielert, Mario; Vanberg, Gert; Hackenberg, Daniel; Terboven, Christian; Müller, Matthias S.","Calculating User-Centric Carbon Footprints for HPC","2024 IEEE International Conference on Cluster Computing Workshops (CLUSTER Workshops)","","","10.1109/CLUSTERWorkshops61563.2024.00015","","Sustainable computing necessitates metrics for calculating carbon emissions of HPC systems and applications. While some established metrics focus on the data center level targeting HPC operators, any publicly reported data is too unspecific and untimely for HPC users. HPC users are often left only with the ability to estimate based on generic and sometimes arbitrarily chosen parameters. This paper fills a research gap by providing a methodology for HPC operators to calculate user-centric operational carbon footprints. Three carbon accounting levels are defined, focussing on ease of applicability for initial adoption and incrementally increasing reporting accuracy and time resolution. We apply this methodology to two German HPC centers, providing a variability analysis for the calculation parameters. The results reveal significant hourly, daily, and monthly fluctuations in the carbon intensity of the German energy mix and the clusters' power consumption, as well as hourly and monthly trends for the power usage effectiveness if free air cooling is employed.","2024-09","2025-06-11 23:02:17","2026-02-16 12:29:11","","26-35","","","","","","","","","","","","","","","","","","","","","","/Users/lucas/ws/Zotero Files/wassermann-2024-calculating-user-centric-carbon-footprints-for-hpc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWS7RN6V","journalArticle","2025","Liu, Haoyang; Zhai, Jiangtao","Carbon Emission Modeling for High-Performance Computing-Based AI in New Power Systems with Large-Scale Renewable Energy Integration","Processes","","","10.3390/pr13020595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218987048&doi=10.3390%2fpr13020595&partnerID=40&md5=ad9e01e8f1e1f21d16d31d7e7bc98180","Under the global impetus toward carbon peak and carbon neutrality, large-scale renewable energy integration has become a key driver in transforming traditional power grids into new power systems. Meanwhile, the growing adoption of advanced artificial intelligence (AI) approaches, especially large-scale models, heavily relies on high-performance computing (HPC) resources, which pose significant sustainability challenges due to their energy consumption and carbon emissions. This study introduces a newly developed carbon emission model (CEM) that accounts for both embodied and operational emissions in HPC systems. The CEM integrates parameters such as energy intensity coefficients, workload distribution patterns, and renewable deficiency rates, providing a lifecycle perspective of emissions in HPC-based AI applications for power systems. Results reveal that operational emissions dominate, constituting 87% of the total lifecycle footprint. Different regions exhibit varying carbon emissions, and on average, increasing the renewable energy share from 20% to 50% reduces total emissions by 43%, while a full transition to renewable energy achieves a 92% reduction. Circular economy practices, including hardware recycling and sustainable design, are also highlighted to mitigate embodied emissions. This study offers quantitative evidence and actionable insights for power industry stakeholders, enabling the balance between high-performance AI computations and ambitious carbon neutrality goals in renewable-integrated systems. © 2025 by the authors.","2025","2025-06-11 23:02:14","2026-02-16 12:29:11","","","","2","13","","","","","","","","","","","","","","","","","Type: Article","","/Users/lucas/ws/Zotero Files/liu-2025-carbon-emission-modeling-for-high-performance-comp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZU4JJCPK","journalArticle","2013","McDonnell, Marshall","Supercomputer design: An initial effort to capture the environmental, economic, and societal impacts","Faculty Publications and Other Works – Chemical and Biomolecular Engineering","","","","https://trace.tennessee.edu/utk_chembiopubs/93","Currently, the Green500 is possibly the largest effort to direct the evolution of supercomputing towards sustainable design but does not address life-cycle impacts of a supercomputer. Supercomputer assessment with economical, environmental, and societal impacts considered would provide an optimal future supercomputer design that is sustainable. By combining process-LCA and EIO-LCA methods, an initial model for in-depth sustainability analysis of supercomputer design has been developed. The model provides comparison of economic, environmental, and societal impacts for manufacturing and operation of not only a single supercomputer but a range of designs. The ultimate goal of this model is to assist government, academia, and industry in supercomputer development for existing and future supercomputers.","2013-05","2025-08-07 18:12:53","2026-04-07 12:31:12","","","","","","","","","","","","","","","","","","","","","","","","/Users/lucas/ws/Zotero Files/mcdonnell-2013-supercomputer-design-an-initial-effort-to-capture.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7AE4EVV","journalArticle","2015","Sheldon, Heather A.; Schaubs, Peter M.; Rachakonda, Praveen K.; Trefry, Michael G.; Reid, Lynn B.; Lester, Daniel R.; Metcalfe, Guy; Poulet, Thomas; Regenauer-Lieb, Klaus","Groundwater cooling of a supercomputer in Perth, Western Australia: hydrogeological simulations and thermal sustainability","Hydrogeology Journal","","","10.1007/s10040-015-1280-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947023050&doi=10.1007%2fs10040-015-1280-z&partnerID=40&md5=e825d1a9b4460c883dcf3fb896833ad0","Groundwater cooling (GWC) is a sustainable alternative to conventional cooling technologies for supercomputers. A GWC system has been implemented for the Pawsey Supercomputing Centre in Perth, Western Australia. Groundwater is extracted from the Mullaloo Aquifer at 20.8 °C and passes through a heat exchanger before returning to the same aquifer. Hydrogeological simulations of the GWC system were used to assess its performance and sustainability. Simulations were run with cooling capacities of 0.5 or 2.5 Mega Watts thermal (MWth), with scenarios representing various combinations of pumping rate, injection temperature and hydrogeological parameter values. The simulated system generates a thermal plume in the Mullaloo Aquifer and overlying Superficial Aquifer. Thermal breakthrough (transfer of heat from injection to production wells) occurred in 2.7–4.3 years for a 2.5 MWth system. Shielding (reinjection of cool groundwater between the injection and production wells) resulted in earlier thermal breakthrough but reduced the rate of temperature increase after breakthrough, such that shielding was beneficial after approximately 5 years pumping. Increasing injection temperature was preferable to increasing flow rate for maintaining cooling capacity after thermal breakthrough. Thermal impacts on existing wells were small, with up to 10 wells experiencing a temperature increase ≥ 0.1 °C (largest increase 6 °C). © 2015, Springer-Verlag Berlin Heidelberg.","2015","2025-08-07 18:12:53","2026-02-16 12:29:11","","1831 – 1849","","8","23","","","","","","","","","","","","","","","","","Type: Article","","/Users/lucas/ws/Zotero Files/sheldon-2015-groundwater-cooling-of-a-supercomputer-in-perth,-w.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQ6IM8RS","conferencePaper","2014","Romero, Mario; Hasselqvist, Hanna; Svensson, Gert","Supercomputers keeping people warm in the winter","ICT for Sustainability 2014, ICT4S 2014","","","10.2991/ict4s-14.2014.40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928034817&doi=10.2991%2fict4s-14.2014.40&partnerID=40&md5=b282936ddf569b34e97f95e479e9a9d3","We present the design and evaluation of the heat recovery system for KTH's Lindgren, Stockholm's fastest supercomputer, a Cray XE6. Lindgren came into service in 2010 and has since been primarily used for complex numeric simulations of fluid mechanics and computational chemistry and biology. The heat exchange system collects the wasted heat from Lindgren's 36,384 CPU cores and transfers it via the standard district heating and cooling system to a neighboring building which houses the Chemistry laboratories. We analyze the impact of Lindgren's heat recycle system as a function of outside temperature and we estimate the system's carbon emission savings. Since the original installation of Lindgren in 2010, it has become common practice to use water cooling systems for supercomputers, as water is a better heat transfer medium than air. We discuss the relevant design lessons from Lindgren as they relate to practical and sustainable waste heat recovery designs for today's platforms. Finally, we estimate that the recovered heat from Lindgren reduced the carbon emissions by nearly 50 tons over the 2012-13 winter, the sample period of our analysis. © 2014. The authors.","2014","2025-08-07 18:12:53","2026-02-16 12:29:11","","324 – 332","","","","","","","","","","","","","","","","","","","","Type: Conference paper","","/Users/lucas/ws/Zotero Files/romero-2014-supercomputers-keeping-people-warm-in-the-winter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52JQK77V","journalArticle","2013","Kessaci, Yacine; Melab, Nouredine; Talbi, El-Ghazali","A Pareto-based metaheuristic for scheduling HPC applications on a geographically distributed cloud federation","Cluster Computing","","","10.1007/s10586-012-0210-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881023586&doi=10.1007%2fs10586-012-0210-2&partnerID=40&md5=d38741f55eb176182ff8a46b18fe93bf","Reducing energy consumption is an increasingly important issue in cloud computing, more specifically when dealing with High Performance Computing (HPC). Minimizing energy consumption can significantly reduce the amount of energy bills and then increase the provider's profit. In addition, the reduction of energy decreases greenhouse gas emissions. Therefore, many researches are carried out to develop new methods in order to make HPC applications consuming less energy. In this paper, we present a multi-objective genetic algorithm (MO-GA) that optimizes the energy consumption, CO2 emissions and the generated profit of a geographically distributed cloud computing infrastructure. We also propose a greedy heuristic that aims to maximize the number of scheduled applications in order to compare it with the MO-GA. The two approaches have been experimented using realistic workload traces from Feitelson's PWA Parallel Workload Archive. The results show that MO-GA outperforms the greedy heuristic by a significant margin in terms of energy consumption and CO2 emissions. In addition, MO-GA is also proved to be slightly better in terms of profit while scheduling more applications. © 2012 Springer Science+Business Media, LLC.","2013","2025-08-07 18:12:53","2026-02-16 12:29:11","","451 – 468","","3","16","","","","","","","","","","","","","","","","","Type: Article","","/Users/lucas/ws/Zotero Files/kessaci-2013-a-pareto-based-metaheuristic-for-scheduling-hpc-ap.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
